year_month,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2003-06,,47.7151481834087,57.98011983340956,52.03181592293738,9.316228741092708,5,2,2,1,1,Muy Malo
2003-07,,42.36422811330158,60.20728372774577,55.13748755107611,9.605297605319862,5,2,2,1,1,Muy Malo
2003-08,,43.23955221638311,54.75869398404383,60.442177685225616,9.372809364853794,5,2,2,2,1,Muy Malo
2003-09,,39.5069608757218,57.860608255938736,42.58556876152816,9.698474814582644,5,2,2,1,1,Muy Malo
2003-10,,24.195508275283945,54.14901239407023,26.071526347195306,9.090095643313804,5,1,2,1,1,Muy Malo
2003-11,,33.99433141717841,60.330177845434655,18.30872388176674,14.294380708852714,5,2,2,1,1,Muy Malo
2003-12,,37.81102751094577,67.37281701071957,14.390765495205159,18.723628422379257,5,2,2,1,1,Muy Malo
2004-01,,33.5865107377817,62.557937931568674,14.632864418386967,17.35093899370449,5,2,2,1,1,Muy Malo
2004-02,18.389621845665356,35.35779184648272,65.68891543383589,18.454117864367152,16.147239228841567,2,2,2,1,1,Bueno
2004-03,17.268464120083717,31.5047692937821,56.78145479404621,34.18343430956433,12.646924676375397,2,2,2,1,1,Bueno
2004-04,14.14536178767932,24.163132507679773,50.638976078748605,47.758307730271746,9.224867916421944,1,1,2,1,1,Bueno
2004-05,14.79384793491749,23.4846125687217,56.93775404215343,43.9268810578221,7.508255375255893,1,1,2,1,1,Bueno
2004-06,19.158236674290805,35.08654596609194,58.6829626241489,50.17384142061881,6.927535776021685,2,2,2,1,1,Bueno
2004-07,24.232175242989275,42.20933610512111,59.940499456359134,51.561900684066025,7.2854030020352125,2,2,2,1,1,Bueno
2004-08,17.10419208712452,31.805657480832615,52.45063771066201,46.686214231906455,6.728576987931085,2,2,2,1,1,Bueno
2004-09,22.575338528790994,44.75056376552027,64.75145915945201,34.15582170503459,8.574933487083245,2,2,2,1,1,Bueno
2004-10,18.842631677077655,33.0873389884475,62.57465616590838,25.101823765055773,8.891859502878129,2,2,2,1,1,Bueno
2004-11,28.10016359199844,40.49108630135032,74.92843767881143,12.772393729524675,17.856805356432936,2,2,2,1,1,Bueno
2004-12,17.5830628218035,27.1722502352566,63.58105073459227,17.926183569524515,17.28800877033574,2,2,2,1,1,Bueno
2005-01,24.781490319356823,41.800546463597904,80.81493715074389,15.878592200954163,22.725227340424574,2,2,2,1,1,Bueno
2005-02,16.195643389218308,25.831873293059914,67.32542059045849,28.819649843509115,15.610625675158067,2,2,2,1,1,Bueno
2005-03,20.089676490926806,37.24032313543625,61.420784561732596,33.93795737350873,13.428944346506471,2,2,2,1,1,Bueno
2005-04,14.25048496710535,24.464946512866003,52.89819697630559,47.781805915102154,8.963471534118355,1,1,2,1,1,Bueno
2005-05,15.701756052782523,30.035640317125072,51.8121934314325,47.73417545750096,8.001017345970066,2,2,2,1,1,Bueno
2005-06,18.494096603549895,34.37969889274607,54.950272934865616,50.28937329554357,8.022697334185265,2,2,2,1,1,Bueno
2005-07,20.084542362540986,36.65506254620343,52.70439054950974,56.88767871841253,8.22787965677776,2,2,2,1,1,Bueno
2005-08,20.987640974241025,40.27516421737416,51.11210373813101,46.246770298391866,8.226486022629159,2,2,2,1,1,Bueno
2005-09,19.33479330974812,39.952724787680495,62.716885448532786,33.60769222457589,9.15283495983852,2,2,2,1,1,Bueno
