date,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2016-06-23,8.979166666666666,28.761363636363637,29.271453590192646,83.87087087087087,8.163179916317992,1,2,1,2,1,Bueno
2016-06-24,14.54861111111111,37.3014705882353,46.579130434782606,59.06268656716418,9.216666666666667,1,2,1,1,1,Bueno
2016-06-25,10.416666666666666,27.145833333333332,24.01388888888889,80.38690476190476,8.45,1,2,1,2,1,Bueno
2016-06-26,9.243055555555555,21.38888888888889,13.347222222222221,79.94345238095238,8.795833333333333,1,1,1,2,1,Bueno
2016-06-27,11.805555555555555,25.90625,30.335069444444443,80.39285714285714,7.792792792792793,1,2,1,2,1,Bueno
2016-06-28,17.125,42.19434628975265,39.97569444444444,68.03571428571429,7.615384615384615,2,2,1,2,1,Bueno
2016-06-29,18.09027777777778,51.34722222222222,40.973958333333336,60.57142857142857,7.241666666666666,2,3,1,2,1,Regular
2016-06-30,12.555555555555555,26.506944444444443,40.62152777777778,66.5134328358209,7.775,1,2,1,2,1,Bueno
2016-07-01,10.97872340425532,21.95438596491228,37.92695652173913,65.23652694610779,7.729166666666667,1,1,1,2,1,Bueno
2016-07-02,10.465277777777779,18.70138888888889,33.697916666666664,72.93432835820896,7.958333333333333,1,1,1,2,1,Bueno
2016-07-03,11.284722222222221,26.32638888888889,18.744791666666668,83.14925373134328,7.808333333333334,1,2,1,2,1,Bueno
2016-07-04,14.506944444444445,37.68055555555556,27.38111888111888,75.54518072289157,7.3940677966101696,1,2,1,2,1,Bueno
2016-07-05,12.416666666666666,24.35763888888889,32.74295774647887,81.7703927492447,7.062761506276151,1,1,1,2,1,Bueno
2016-07-06,13.256944444444445,26.821052631578947,32.03859649122807,81.45808383233533,5.995798319327731,1,2,1,2,1,Bueno
2016-07-07,10.26388888888889,21.104166666666668,33.287958115183244,69.12048192771084,5.408333333333333,1,1,1,2,1,Bueno
2016-07-08,12.479166666666666,26.78472222222222,47.78984238178634,73.01208459214502,5.4125,1,2,1,2,1,Bueno
2016-07-09,13.520833333333334,24.010416666666668,38.83159722222222,84.60714285714286,5.666666666666667,1,1,1,2,1,Bueno
2016-07-10,15.402777777777779,35.09722222222222,35.30902777777778,82.83035714285714,5.5375,2,2,1,2,1,Bueno
2016-07-11,11.5,20.76388888888889,39.197916666666664,64.66071428571429,4.88135593220339,1,1,1,2,1,Bueno
2016-07-12,8.01388888888889,16.979166666666668,29.019434628975265,78.0519877675841,5.558333333333334,1,1,1,2,1,Bueno
2016-07-13,6.083333333333333,13.54513888888889,17.164930555555557,73.76488095238095,5.46218487394958,1,1,1,2,1,Bueno
2016-07-14,4.8125,12.40625,20.552083333333332,74.9375,5.483193277310924,1,1,1,2,1,Bueno
2016-07-15,5.382978723404255,15.203508771929824,28.305555555555557,82.75297619047619,4.76890756302521,1,1,1,2,1,Bueno
2016-07-16,10.152777777777779,22.403508771929825,34.545138888888886,83.80654761904762,5.808333333333334,1,1,1,2,1,Bueno
2016-07-17,10.20138888888889,22.68402777777778,32.40972222222222,83.7202380952381,5.5125,1,1,1,2,1,Bueno
2016-07-18,9.090277777777779,23.958333333333332,34.20593368237347,82.02102102102103,5.466386554621849,1,1,1,2,1,Bueno
2016-07-19,12.459854014598541,40.9568345323741,37.25349650349651,81.37724550898204,6.29535864978903,1,2,1,2,1,Bueno
2016-07-20,26.246376811594203,95.99645390070921,41.940766550522646,51.301492537313436,4.754166666666666,2,4,1,1,1,Malo
2016-07-21,12.118055555555555,29.28472222222222,45.117338003502624,69.17559523809524,5.535564853556485,1,2,1,2,1,Bueno
2016-07-22,9.0,22.770833333333332,29.581881533101047,82.49253731343283,5.520833333333333,1,1,1,2,1,Bueno
2016-07-23,4.041666666666667,9.03125,10.848958333333334,62.729166666666664,5.145833333333333,1,1,1,2,1,Bueno
2016-07-24,5.013888888888889,11.440972222222221,13.984375,73.5,5.108333333333333,1,1,1,2,1,Bueno
2016-07-25,5.902777777777778,12.84375,20.43923611111111,83.85119047619048,5.479166666666667,1,1,1,2,1,Bueno
2016-07-26,9.23404255319149,21.347368421052632,35.880208333333336,84.36309523809524,5.770833333333333,1,1,1,2,1,Bueno
2016-07-27,14.409722222222221,28.006944444444443,33.14930555555556,98.20535714285714,5.8625,1,2,1,2,1,Bueno
2016-07-28,12.680555555555555,25.67361111111111,34.079861111111114,91.40178571428571,4.595833333333333,1,2,1,2,1,Bueno
2016-07-29,14.680555555555555,32.142361111111114,38.255208333333336,84.63095238095238,6.358333333333333,1,2,1,2,1,Bueno
2016-07-30,15.534722222222221,37.10069444444444,28.98784722222222,86.20238095238095,5.2,2,2,1,2,1,Bueno
2016-07-31,10.347222222222221,20.34375,16.286713286713287,94.394578313253,5.016949152542373,1,1,1,2,1,Bueno
2016-08-01,9.458333333333334,17.80902777777778,24.818181818181817,81.4702380952381,5.2092050209205025,1,1,1,2,1,Bueno
2016-08-02,11.07638888888889,24.659649122807018,40.06479859894921,79.71428571428571,5.105485232067511,1,1,1,2,1,Bueno
2016-08-03,13.104166666666666,29.77777777777778,46.58115183246073,83.12797619047619,5.629166666666666,1,2,1,2,1,Bueno
2016-08-04,10.729166666666666,26.34722222222222,35.87237762237762,73.61904761904762,5.7656903765690375,1,2,1,2,1,Bueno
2016-08-05,6.069444444444445,11.605839416058394,17.32465277777778,64.80357142857143,4.8625,1,1,1,2,1,Bueno
2016-08-06,4.895833333333333,11.88086642599278,18.164930555555557,66.125,5.204166666666667,1,1,1,2,1,Bueno
2016-08-07,6.5,14.993055555555555,19.208333333333332,70.78869047619048,5.129166666666666,1,1,1,2,1,Bueno
2016-08-08,8.0,20.564912280701755,34.302083333333336,72.5952380952381,5.795833333333333,1,1,1,2,1,Bueno
2016-08-09,8.541666666666666,24.739583333333332,36.423611111111114,66.0922619047619,5.683982683982684,1,1,1,2,1,Bueno
2016-08-10,5.029197080291971,10.688172043010752,12.48611111111111,69.48059701492538,5.4125,1,1,1,2,1,Bueno
2016-08-11,4.517985611510792,12.539007092198581,19.82638888888889,77.30357142857143,6.191666666666666,1,1,1,2,1,Bueno
2016-08-12,8.430555555555555,22.506944444444443,26.83159722222222,76.15223880597014,5.866108786610878,1,1,1,2,1,Bueno
2016-08-13,9.541666666666666,21.131944444444443,26.588541666666668,79.30357142857143,6.229166666666667,1,1,1,2,1,Bueno
2016-08-14,7.770833333333333,16.80902777777778,18.81076388888889,78.48809523809524,6.1875,1,1,1,2,1,Bueno
2016-08-15,9.472222222222221,29.677083333333332,16.979166666666668,79.18154761904762,6.691666666666666,1,2,1,2,1,Bueno
2016-08-16,16.993055555555557,47.69718309859155,31.43280977312391,71.11711711711712,5.756302521008403,2,2,1,2,1,Bueno
2016-08-17,13.72027972027972,35.1184668989547,33.8815331010453,71.7814371257485,5.697478991596639,1,2,1,2,1,Bueno
2016-08-18,9.75,24.5625,32.01223776223776,61.27927927927928,6.317991631799163,1,1,1,2,1,Bueno
2016-08-19,9.98611111111111,21.45138888888889,27.513134851138354,68.95454545454545,5.9071729957805905,1,1,1,2,1,Bueno
2016-08-20,7.208333333333333,14.190972222222221,14.197916666666666,62.55059523809524,5.758333333333334,1,1,1,2,1,Bueno
2016-08-21,9.020833333333334,20.694444444444443,17.333333333333332,78.16964285714286,5.65,1,1,1,2,1,Bueno
2016-08-22,10.333333333333334,24.020833333333332,31.072916666666668,64.98809523809524,6.1,1,1,1,2,1,Bueno
2016-08-23,11.993055555555555,26.413194444444443,40.04340277777778,57.42559523809524,6.908333333333333,1,2,1,1,1,Bueno
